time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1773322294.06451893,0.01980333,6265,0.00079214,0.00000000,0,0.00000000,11895,11905,103,0.00135638
1773322294.16478133,0.02458949,6270,0.00073462,0.00000000,0,0.00000000,11905,11947,155,0.00096686
1773322294.26482201,0.01885677,6248,0.00072333,0.00000000,0,0.00000000,11947,11998,122,0.00261728
1773322294.36477518,0.01616147,6228,0.00104352,0.00000000,0,0.00000000,11998,12059,134,0.00098783
1773322294.46574116,0.01899384,6222,0.00167883,0.00000000,0,0.00000000,12059,12054,130,0.00114340
1773322294.56568408,0.01955699,6277,0.00063567,0.00000000,0,0.00000000,12054,12103,143,0.00207753
1773322294.66564703,0.01943798,6255,0.00059935,0.00000000,0,0.00000000,12103,12183,132,0.00308218
1773322294.76549244,0.01924480,6255,0.00094327,0.00000000,0,0.00000000,12183,12175,138,0.00157917
1773322294.86456060,0.01199241,6316,0.00056751,0.00000000,0,0.00000000,12175,12210,124,0.00097639
1773322294.96555042,0.01392048,6269,0.00059804,0.00000000,0,0.00000000,12210,12272,138,0.00170885
1773322295.06545329,0.01414930,6246,0.00075321,0.00000000,0,0.00000000,12272,12300,123,0.00164909
1773322295.16543818,0.01374355,6274,0.00056996,0.00000000,0,0.00000000,12300,12380,112,0.00118549
1773322295.26546168,0.01318982,6244,0.00078925,0.00000000,0,0.00000000,12380,12414,121,0.00080014
1773322295.36544418,0.02023400,6266,0.00078618,0.00000000,0,0.00000000,12414,12432,110,0.00144088
1773322295.46528220,0.02129753,6210,0.00081238,0.00000000,0,0.00000000,12432,12381,129,0.00133236
1773322295.56505322,0.02211755,6259,0.00078529,0.00000000,0,0.00000000,12381,12405,126,0.00408473
1773322295.66498280,0.01761682,6242,0.00046236,0.00000000,0,0.00000000,12405,12474,123,0.00422707
1773322295.76485729,0.02081512,6188,0.00101035,0.00000000,0,0.00000000,12474,12452,155,0.00185825
1773322295.86483240,0.03167117,6217,0.00165340,0.00000000,0,0.00000000,12452,12523,153,0.00109872
1773322295.96474767,0.03089339,6245,0.00120298,0.00000000,0,0.00000000,12523,12565,136,0.00123630
1773322296.06465125,0.03333583,6208,0.00083687,0.00000000,0,0.00000000,12565,12563,87,0.00086068
1773322296.16459227,0.01650857,6216,0.00129079,0.00000000,0,0.00000000,12563,12614,118,0.00237605
1773322296.26450753,0.02312568,6247,0.00154889,0.00000000,0,0.00000000,12614,12642,121,0.00347740
1773322296.36459351,0.02452075,6194,0.00066589,0.00000000,0,0.00000000,12642,12678,110,0.00219481
